block size: (10000, 3, 227, 227) , dtype: uint8 , value range: 0 255
(81, 104, 83)
full mask length = 699192
selection length = 238292
2392 	: V1
2096 	: V2
1674 	: V3
721 	: hV4
965 	: V3ab
488 	: LO
2155 	: IPS
482 	: VO
382 	: PHC
284 	: MT
55 	: MST
95379 	: other
/cluster/projects/uludag/uzair//nsd//nsddata_betas/ppdata/subj01//func1pt8mm/betas_fithrf_GLMdenoise_RR/betas_session01.nii.gz
float64 -32768.0 32767.0 (750, 81, 104, 83)
<beta> = 0.185, <sigma> = 1.650
/cluster/projects/uludag/uzair//nsd//nsddata_betas/ppdata/subj01//func1pt8mm/betas_fithrf_GLMdenoise_RR/betas_session02.nii.gz
float64 -32768.0 32767.0 (750, 81, 104, 83)
<beta> = 0.147, <sigma> = 1.488
/cluster/projects/uludag/uzair//nsd//nsddata_betas/ppdata/subj01//func1pt8mm/betas_fithrf_GLMdenoise_RR/betas_session03.nii.gz
float64 -32768.0 32767.0 (750, 81, 104, 83)
<beta> = 0.154, <sigma> = 1.510
/cluster/projects/uludag/uzair//nsd//nsddata_betas/ppdata/subj01//func1pt8mm/betas_fithrf_GLMdenoise_RR/betas_session04.nii.gz
float64 -32768.0 32767.0 (750, 81, 104, 83)
<beta> = 0.125, <sigma> = 1.480
(3000, 238292)
Total number of voxels = 238292
[1,    20] loss: 1.623
[1,    40] loss: 1.587
[1,    60] loss: 1.283
[1,    80] loss: 1.037
[1,   100] loss: 1.051
[1,   120] loss: 1.119
[1,   140] loss: 0.954
[1,   160] loss: 1.045
[1,   180] loss: 0.981
[1,   200] loss: 1.060
[1,   220] loss: 1.060
[1,   240] loss: 0.903
[1,   260] loss: 0.874
[1,   280] loss: 0.982
[1,   300] loss: 0.948
[1,   320] loss: 1.010
[1,   340] loss: 1.098
[1,   360] loss: 0.967
[1,   380] loss: 0.856
[1,   400] loss: 1.080
[1,   420] loss: 0.957
[1,   440] loss: 1.053
[1,   460] loss: 1.011
[1,   480] loss: 1.059
[1,   500] loss: 1.130
[1,   520] loss: 1.055
[1,   540] loss: 0.865
[1,   560] loss: 1.085
[1,   580] loss: 1.016
[1,   600] loss: 0.941
[1,   620] loss: 1.098
[1,   640] loss: 0.958
[1,   660] loss: 0.982
[1,   680] loss: 0.936
[1,   700] loss: 0.974
[1,   720] loss: 0.712
[1,   740] loss: 0.692
[1,   760] loss: 0.827
[1,   780] loss: 0.756
[1,   800] loss: 0.977
[1,   820] loss: 0.622
[1,   840] loss: 0.621
[1,   860] loss: 0.947
[1,   880] loss: 1.013
[1,   900] loss: 1.017
[1,   920] loss: 1.188
[1,   940] loss: 1.045
[1,   960] loss: 0.991
[1,   980] loss: 1.079
[1,  1000] loss: 1.141
[1,  1020] loss: 0.966
[1,  1040] loss: 0.879
[1,  1060] loss: 1.029
[1,  1080] loss: 0.959
[1,  1100] loss: 1.033
[1,  1120] loss: 1.045
[1,  1140] loss: 1.116
[1,  1160] loss: 1.273
[1,  1180] loss: 1.490
[1,  1200] loss: 1.055
[1,  1220] loss: 1.075
[1,  1240] loss: 1.015
[1,  1260] loss: 1.032
[1,  1280] loss: 0.948
[1,  1300] loss: 1.123
[1,  1320] loss: 1.040
[1,  1340] loss: 1.039
[1,  1360] loss: 1.080
[1,  1380] loss: 1.113
[1,  1400] loss: 1.041
[1,  1420] loss: 1.102
[1,  1440] loss: 1.077
[1,  1460] loss: 0.973
[1,  1480] loss: 1.013
[1,  1500] loss: 0.925
[1,  1520] loss: 1.039
[1,  1540] loss: 1.033
[1,  1560] loss: 1.015
[1,  1580] loss: 0.985
[1,  1600] loss: 0.918
[1,  1620] loss: 0.933
[1,  1640] loss: 0.976
[1,  1660] loss: 0.936
[1,  1680] loss: 0.935
[1,  1700] loss: 0.897
[1,  1720] loss: 1.029
[1,  1740] loss: 0.865
[1,  1760] loss: 1.044
[1,  1780] loss: 0.977
[1,  1800] loss: 1.080
[1,  1820] loss: 1.071
[1,  1840] loss: 1.097
[1,  1860] loss: 1.176
[1,  1880] loss: 1.134
[1,  1900] loss: 0.861
[1,  1920] loss: 0.876
[1,  1940] loss: 0.880
[1,  1960] loss: 0.934
[1,  1980] loss: 0.925
[1,  2000] loss: 0.971
[1,  2020] loss: 0.847
[1,  2040] loss: 0.924
[1,  2060] loss: 1.103
[1,  2080] loss: 0.952
[1,  2100] loss: 0.945
[1,  2120] loss: 1.036
[1,  2140] loss: 0.974
[1,  2160] loss: 1.087
[1,  2180] loss: 1.008
[1,  2200] loss: 0.995
[1,  2220] loss: 0.999
[1,  2240] loss: 1.002
[1,  2260] loss: 0.941
[1,  2280] loss: 0.934
[1,  2300] loss: 1.002
[1,  2320] loss: 0.929
[1,  2340] loss: 0.921
[1,  2360] loss: 0.830
[1,  2380] loss: 1.079
[1,  2400] loss: 0.922
[1,  2420] loss: 0.852
[1,  2440] loss: 0.996
[1,  2460] loss: 0.897
[1,  2480] loss: 0.918
[1,  2500] loss: 0.912
[1,  2520] loss: 1.054
[1,  2540] loss: 1.028
[1,  2560] loss: 1.107
[1,  2580] loss: 1.014
[1,  2600] loss: 0.949
[1,  2620] loss: 1.006
[1,  2640] loss: 0.974
[1,  2660] loss: 0.995
